pH,EC,CO3,Cl,SO4,TH,Ca,Mg,Na,TDS,Temperature
6.65,380,0,55.56,13.49,90,25.7,6.5,35.74,803.5824542,25.85606913
7.35,260,0,29.66,30,122,23.5,15.6,18.05,803.5824542,26.77996049
7.38,200,0,26.99,3.48,53.3,12.8,5.2,23.85,803.5824542,29.29183244
7.42,550,0,57.7,55.41,144,49.2,5.2,35.54,803.5824542,27.42382246
7.38,290,0,37.91,33.36,58.7,21.4,1.3,35.31,803.5824542,28.07722573
7.71,440,0,52.3,4.48,122,38.5,6.5,20.3,803.5824542,26.3520372
7.55,400,0,73.31,7.96,74,17.1,7.8,41,803.5824542,29.36204364
7.69,193,0,31.69,8.17,37,12.8,1.3,22.86,803.5824542,26.96258842
7.94,380,0,29.5,23.02,107,15,16.9,29.62,803.5824542,28.28346524
7.65,139,0,15.17,2.05,42.7,12.8,2.6,11.97,803.5824542,27.30793033
7.62,230,0,43.59,20.44,64,19.2,3.9,19.45,803.5824542,28.30891618
7.9,410,0,48.8,14.4,91,19.2,10.4,31.2,803.5824542,29.6969717
7.17,36,0,3.5,0.7,21.3,2.1,3.9,0.16,803.5824542,28.76344111
8.41,810,21.3,76.2,60.7,208,21.4,37.71,57,803.5824542,28.25156727
8.01,51,0,11.2,3,16,4.3,1.3,11.2,803.5824542,26.58470045
7.43,410,0,67.2,30.2,107,19.3,14.31,24.7,803.5824542,25.36697323
7.49,95,0,15.6,2.5,32.1,6.4,3.9,12.6,803.5824542,27.80065382
7.33,165,0,17.7,12.9,42.7,12.9,2.6,8.2,803.5824542,27.90114562
7.4,55,0,6.4,2.4,26.7,4.3,3.9,8.6,803.5824542,27.3011366
6.6,70,0,8.1,0.8,32.1,2.1,6.5,8.4,803.5824542,28.33385029
7.26,179,0,15,14.5,64.2,21.4,2.6,2.1,803.5824542,26.71770211
7.59,151,0,12.8,5,64.2,10.7,9.1,12.8,803.5824542,26.6983138
7.84,168,0,11.7,15.1,58.8,12.9,6.5,13.5,803.5824542,28.148144
7.88,75,0,5.5,2.2,32.7,6.4,3.9,0.17,803.5824542,29.16731536
7.7,50,0,4.3,0.9,10.7,4.3,0.65,5,803.5824542,27.63318888
6.9,410,0,46.75,64.47,106.7,23.5,11.7,45.3,803.5824542,25.02047124
6.8,360,0,78.4,4.11,42.7,6.4,6.5,67.6,803.5824542,26.86231967
3.8,200,0,26.7,6.05,37.3,10.7,2.6,19.59,803.5824542,27.98433254
6.5,530,0,24.4,7.64,53,17,2.6,24.01,803.5824542,25.26793698
4,220,0,33.2,4.11,26.8,4.3,3.9,30.09,803.5824542,28.92853007
6.91,220,0,32.4,2.98,26.7,4.3,3.9,28.44,803.5824542,27.42613481
6.81,179,0,20.7,1.78,42.7,15,1.3,23.89,803.5824542,26.61799818
4.1,176,0,28.5,1.11,37.4,6.4,5.2,29.89,803.5824542,28.7744428
7.2,260,0,34.3,5.8,106,36.4,3.9,26.61,803.5824542,28.81214357
4.1,410,0,59.2,29.71,53.4,15,3.9,44.79,803.5824542,25.09165079
3.6,230,0,17.8,9.08,54,15,3.9,17.69,803.5824542,27.4329327
6,50,0,5.21,2.24,16,6.4,0,6.36,803.5824542,28.31296213
6.3,350,0,50.35,3.48,48,19.3,0,34.79,803.5824542,29.01176132
6.72,149,0,19.19,9.65,53.4,10.7,6.5,18.31,803.5824542,25.80848827
7.25,112,0,16.68,2.27,21.4,8.6,0,17.49,803.5824542,26.99932107
7,290,0,44.5,7.78,53.3,12.8,5.2,37.34,803.5824542,28.77004889
6.98,190,0,28.87,0.62,32,6.4,3.9,28.72,803.5824542,26.38688459
7.5,130,0,10.7,7.5,38.7,12.2,2.02,13.4,803.5824542,28.20805847
7.47,110,0,7.2,3,46.4,15.7,1.76,8,803.5824542,26.72988781
7.25,170,0,10.8,1.5,56,14.2,5.02,16.2,803.5824542,29.76642003
7.3,72,0,6.3,2.3,36.1,11,2.2,6,803.5824542,27.8084467
7.7,350,0,29.9,22.6,105,32.2,5.98,21.7,803.5824542,28.07327706
7.47,139,0,12.1,5.7,58.5,18.5,2.99,9.7,803.5824542,28.81394431
7.68,500,0,66.5,14.1,150,35.4,15.05,47,803.5824542,28.51789432
7.94,260,0,19.5,3.41,94.4,19.2,11.3,23.4,803.5824542,26.54150883
7.7,111,0,8.7,4.5,54,14.7,4.22,8.1,803.5824542,29.6404142
7.25,156,0,14.7,0.612,47.6,13,3.7,9.4,803.5824542,25.93102627
7.38,62,0,3.94,2.1,30,8.4,2.2,4.63,803.5824542,28.38251348
6.9,710,0,53,102,265,60,28,27,372,26.7937698
7,1530,0,99,95,525,122,53,37,820,27.91922762
7.4,1333,0,142,43,545,158,36,39,726,28.04800869
7.2,822,0,32,11,295,68,30,16,447,26.95816852
7.1,814,0,99,41,355,52,55,16,432,27.1162149
7.2,1000,0,113,23,395,114,27,28,539,25.40923821
7.1,2032,0,213,119,865,242,63,37,1059,26.83617215
7.3,1067,0,106,20,380,42,67,39,600,29.30704998
7,1194,0,106,19,420,96,44,29,634,25.0799135
7.1,962,0,50,18,410,98,40,26,516,28.64761299
7.2,974,0,89,23,340,78,35,28,517,25.36189838
7.3,1343,0,128,35,445,90,53,27,907,29.02750709
7.1,1469,0,241,64,550,124,58,40,776,27.44013776
7,1598,0,142,7,425,80,55,24,842,25.26208998
7.2,1494,0,163,55,445,110,41,91,791,27.6875132
7.4,1240,0,71,41,415,74,56,27,655,29.47236129
7.2,1026,0,78,22,395,62,58,24,547,25.5127078
7.3,854,0,43,21,330,80,32,19,451,28.50663906
7.4,819,0,43,14,330,58,45,26,435,27.03825302
7.5,782,0,71,21,230,40,32,31,415,25.77429893
7.3,420,0,35,32,130,32,12,30,223,27.1244773
7.1,891,0,53,18,295,68,30,28,468,25.9392577
7.1,975,0,50,28,395,68,55,24,514,26.7889162
7.1,703,0,18,26.5,260,64,24,29,369,26.77590508
6.9,2598,0,404,21,1000,184,131,78,1380,29.27779647
7.5,509,0,28,31,210,76,5,15,272,27.03563319
7.6,536,0,64,22,200,26,33,25,285,28.72194814
7.5,798,0,85,30,260,40,39,37,425,27.20221542
7.2,962,0,106,22,380,76,46,30,508,29.62078617
7.5,1164,0,106,21,490,74,74,30,614,25.37193348
7.6,1347,0,170,28,570,132,58,39,710,26.10922427
7.5,1091,0,106,41,460,84,61,36,582,25.57519127
7.5,1370,0,106,24,600,88,92,34,718,27.23855823
7.4,1071,0,71,38,210,48,22,119,571,28.3406283
7.4,444,0,78,0,250,40,36,19,245,26.77200482
7.5,1956,0,206,64,800,192,78,61,1054,27.75001514
7.2,1678,0,170,59,700,108,104,40,895,26.17405182
7.1,1487,0,92,52,510,124,49,32,795,25.38920554
7.4,814,0,50,82,360,58,52,24,444,29.18624637
7.5,854,0,71,40,340,48,53,34,454,25.31183887
7.4,634,0,28,50,400,44,70,25,337,27.04980607
7.5,1645,0,177,20,630,116,83,22,856,27.06047814
7.6,868,0,71,14,320,42,52,35,469,27.93315994
7.3,2331,0,298,19,810,228,58,16,1242,29.51978078
7.5,897,0,35,178,540,100,70,23,483,28.94345063
7.8,1609,0,184,35,710,164,73,24,840,29.1803854
7.4,1140,0,142,8,450,100,49,26,603,28.62410619
7.5,693,0,82,42,445,88,55,14,371,25.20137246
7.4,1207,0,177,29,470,84,63,32,640,26.83695267
6.7,1834,0,135,19,680,104,102,66,958,26.05850718
7.3,1063,0,142,42,470,98,55,32,572,28.31835793
7.1,586,0,43,41,210,56,17,28,323,25.52319557
7.2,1434,0,255,14,560,124,61,29,738,26.56252969
7.5,859,0,85,23,450,104,46,0,456,25.20847444
7.4,616,0,53,43,280,60,32,16,336,25.07007948
7.3,776,0,43,63,310,48,46,1,405,27.03322721
8.07,1551,0,223,13,225,52,23.0888,38,1008,26.56735657
7.78,1675,0,181,22,325,94,21.8736,114,1089,28.57765286
7.95,1051,0,85,7,235,58,21.8736,12,683,26.08014275
8.01,932,0,89,7,160,34,18.228,47,606,26.84384668
8.07,1619,0,127,10,360,88,34.0256,14,1052,27.58263795
7.87,332,0,28,2,130,28,14.5824,7,216,29.24029993
8,843,0,53,7,205,54,17.0128,30,548,29.19943813
7.88,980,0,113,6,440,102,44.9624,152,637,29.84037814
7.65,688,0,60,5,260,44,36.456,3,447,29.19030127
7.68,594,0,28,4,160,42,13.3672,120,386,26.75671034
8.03,1353,0,64,34,125,32,10.9368,17.2,879,26.53338069
7.44,245,0,35,3,105,18,14.5824,32,159,28.97719726
7.95,1523,0,216,23,380,68,51.0384,36,990,29.34599463
7.91,501,0,35,5,175,22,29.1648,32,326,28.58020978
7.82,1082,0,103,9,305,68,32.8104,92,703,29.92781998
7.95,1079,0,113,5,340,42,57.1144,94,701,28.18629191
8.12,686,0,28,2,215,56,18.228,54,446,25.23905912
7.84,1222,0,131,13,270,48,36.456,6,794,25.94002289
8.1,1735,0,205,25,600,144,58.3296,12,1128,26.58488546
8.05,1197,0,106,7,105,28,8.5064,4,778,27.72455586
7.81,436,0,28,3,180,24,29.1648,2.45,283,26.25318152
7.47,810,0,74,12,355,110,19.4432,8.11,527,27.72439362
7.95,106,0,7,2,35,6,4.8608,10.8,69,26.10395263
7.66,296,0,28,4,115,26,12.152,5.2,192,25.24587598
8.1,860,0,74,8,285,46,41.3168,78,559,28.0107635
8.21,894,0,110,11,310,34,54.684,51,581,25.19976787
7.85,584,0,60,6,240,68,17.0128,18,380,29.74706371
7.8,1769,0,258,27,470,104,51.0384,4,1150,26.98721072
7.51,942,0,142,10,335,72,37.6712,132,612,25.67902842
7.85,522,0,32,3,215,56,18.228,22,339,25.06618443
7.72,201,0,42,1,85,26,4.8608,52,131,29.02646142
7.61,1925,0,368,13,430,78,57.1144,17.2,1251,27.65425497
7.89,840,0,99,11,355,84,35.2408,14.3,546,27.7601898
7.72,1201,0,177,11,335,58,46.1776,74,781,26.6661495
7.88,642,0,39,7,240,62,20.6584,5.3,417,28.96277881
7.54,791,0,50,5,355,84,35.2408,64,514,26.87941469
7.95,1023,0,110,8,310,70,32.8104,4.11,665,26.2822502
7.91,607,0,50,5,270,70,23.0888,70,395,29.90228827
7.87,1499,0,198,11,400,86,44.9624,86,974,26.9710547
7.61,241,0,25,2,105,30,7.2912,30,157,28.73163588
8.27,154.4,0,17.725,1.69,70,16.01,7.27,10.79,78.06,23.10342089
8.16,172.4,0,28.36,9.43,60,16.01,4.85,8.83,90.94,21.36682264
8.13,182.1,0,31.905,13.88,65,18.01,4.85,16.43,95.43,24.86983272
8.02,330.2,0,46.085,25.88,95,16.01,13.34,28.9,170.2,21.27391609
7.71,128,0,35.45,0.25,45,6,7.28,11.72,66.14,23.68264283
7.51,57.49,0,14.18,0.66,35,8.01,3.64,5.51,29.89,24.75063456
7.25,432.1,0,138.255,9.17,220,30.02,35.18,61.53,227.6,22.85929292
6.73,302.4,0,223.335,1.44,120,16.01,19.41,79.99,162.7,24.88891492
6.65,123.4,0,102.805,6.45,80,20.02,7.27,44.75,65.73,23.88136579
6.58,180.8,0,106.35,10.65,145,22.02,21.83,26.52,95.17,21.76978665
6.58,107.2,0,113.44,3.78,40,14.01,1.21,59.87,64.32,22.80915955
6.57,63.36,0,88.625,3.81,45,12.01,3.63,48.84,35.46,21.31747787
6.56,125.1,0,131.165,6.23,55,20.02,1.2,62.74,69.03,24.30103477
6.47,69.42,0,81.535,11.5,55,10.01,7.28,35.69,35.98,24.17757703
6.39,82.11,0,81.535,11.64,80,30.02,1.2,42.63,45.13,23.89549235
6.35,109.8,0,81.535,3.16,65,10.01,9.7,29.27,57.1,23.62189926
6.35,100.9,0,70.9,6.04,55,20.02,1.2,42.62,54.3,24.7359334
6.1,37.44,0,70.9,6.51,65,10.01,9.7,23.4,19.69,21.14144407
6.04,137.2,0,134.71,6.17,60,10.01,8.49,58.99,72.02,24.70419275
6.01,358.5,0,191.43,5.09,155,18.01,26.69,53.32,187.6,22.15277465
5.88,57.43,0,95.715,2.63,60,16.01,4.85,35.59,29.53,24.61124076
5.7,198.4,0,166.615,5.82,100,20.02,12.13,53.95,105.4,22.76359005
5.65,45.84,0,77.99,3.4,45,16.01,1.21,34.08,24.73,23.26624367
7.52,1120,0,87,15,439,107,42,68,728,26.78627947
7.52,1501,0,65,18,667,192,45,48,976,24.00075555
7.56,1272,0,52,14,535,158,34,58,827,23.95889536
7.67,598,0,52,24,232,65,17,42,389,26.21892255
7.43,1052,0,62,10,424,113,34,53,684,24.55905559
7.62,1110,0,55,16,253,83,11,142,722,27.30286879
7.52,945,0,50,8,394,105,32,44,614,27.27644822
7.52,3356,0,355,56,1232,315,108,242,2181,27.91972617
7.66,1122,0,102,14,389,105,31,92,729,24.75245121
7.92,1202,0,139,42,425,130,24,98,781,23.65848335
7.75,1985,0,225,85,650,178,50,172,1290,23.0649108
7.25,855,0,37,10,330,98,21,45,556,25.27422477
7.52,642,0,30,8,260,84,12,38,417,24.05680119
7.65,842,0,25,5,345,104,21,33,547,26.28527742
7.74,1356,0,156,32,400,124,22,142,881,27.56315426
7.82,1312,0,141,15,395,124,21,126,853,24.34308432
7.92,678,0,30,17,255,64,23,39,441,25.95858201
7.52,765,0,22,16,300,82,23,41,497,27.68823779
7.56,602,0,27,11,250,64,22,24,391,23.46168254
7.89,2265,0,290,12,615,178,41,245,1472,23.06981164
7.92,706,0,27,19,185,38,22,75,459,25.81350634
7.81,432,0,15,14,155,38,15,28,281,25.59448319
7.57,376,0,15,5,125,42,5,25,244,23.70718276
7.31,247,0,27,13,70,20,5,23,161,27.82928591
7.61,612,0,27,10,285,84,18,22,398,23.65623503
7.22,517,0,30,8,205,60,13,25,336,26.96557345
7.32,622,0,30,17,265,58,29,21,404,23.68837911
7.84,528,0,32,12,200,62,11,27,343,27.388994
7.66,617,0,37,7,205,56,16,52,401,26.85747471
7.29,312,0,17,9,100,30,6,22,203,25.60064739
7.52,832,0,37,12,350,112,17,33,541,23.7290571
7.24,495,0,32,5,165,44,13,32,322,25.80112368
7.59,985,0,105,8,325,84,28,78,640,26.87971313
7.62,972,0,120,12,300,82,23,82,632,24.46341018
7.23,502,0,35,11,185,42,19,35,326,26.1351388
7.74,932,0,82,9,325,90,24,68,606,23.95076507
7.59,578,0,27,17,205,46,22,42,376,23.50072413
7.96,585,0,27,14,210,50,21,45,380,27.9777214
7.32,511,0,27,5,185,42,19,34,332,27.72453857
7.78,695,0,17,16,220,58,18,62,452,25.49661452
8.05,980,0,37,5,370,28,73,48,637,23.63253858
8.08,1586,0,191,10,640,90,101,62,1031,24.95894151
7.61,475,0,35,4,140,38,11,40,309,26.72368817
7.62,746,0,101,55,50,14,4,138,485,25.70323503
8.16,567,0,22,4,235,64,18,19,369,23.71649907
7.45,532,0,20,6,215,66,12,20,346,27.86549706
7.7,853,0,119,85,130,14,23,130,554,24.66854627
7.52,618,0,52,11,225,72,11,30,402,25.46097098
7.88,1257,0,215,8,485,112,50,62,817,26.51767805
8.01,610,0,25,5,150,20,24,66,397,23.62783699
7.45,225,0,20,8,50,12,5,25,146,26.42864818
7.39,723,0,25,6,215,34,32,63,470,25.32494201
8.07,708,0,17,5,250,60,24,44,460,24.14726111
8.27,445,18,12,5,135,24,18,36,289,27.59170516
8.13,608,0,20,4,225,52,23,33,395,27.66893388
7.84,1055,0,125,8,405,88,45,50,686,25.26512231
8.12,362,0,42,5,70,18,6,23,235,25.1252851
7.92,1006,0,135,10,460,92,56,15,654,26.24056346
8.05,321,0,17,15,100,28,7,22,209,27.70120279
8.1,929,0,150,45,275,72,23,80,604,24.15411233
8.15,773,0,105,16,205,78,2,78,502,27.40693686
8.107,319,0,7,22,100,38,1,18,207,26.04857733
8.433,453,18,12,5,180,46,16,19,294,26.85010878
7.982,273,0,12,10,80,20,7,23,177,24.39963804
8.08,962,0,122,20,275,52,35,93,625,25.23803485
8.103,267,0,20,9,75,24,4,20,174,26.48503675
7.966,473,0,27,7,165,46,12,30,307,24.01386899
8.374,359,24,25,22,125,32,11,21,233,26.72203344
7.983,594,0,20,10,240,48,29,22,386,25.18344049
8.313,328,18,10,5,100,32,5,26,213,24.00713057
8.32,435,18,37,12,170,52,10,17,283,27.53382215
7.872,1676,0,345,10,580,120,68,115,1089,24.54158606
8.093,630,0,70,60,210,74,6,45,410,23.57170848
8.501,928,42,12,28,60,16,5,182,603,27.33000031
8.336,608,30,52,65,195,62,10,45,395,24.81075069
8.318,906,30,107,72,175,46,15,100,589,25.95335941
8.12,498,0,55,22,165,48,11,33,324,23.64606777
8.105,340,0,12,45,115,36,6,21,221,24.49341596
8.413,382,36,15,5,125,42,5,26,248,26.09921705
8.626,463,30,15,8,140,42,9,36,301,26.87714208
8.335,783,24,97,12,300,72,29,39,509,27.14247976
8.416,795,36,40,18,245,38,36,46,517,24.79667291
8.52,484,42,12,5,180,44,17,23,315,24.69538438
7.852,448,0,55,20,140,42,9,33,291,25.3724994
7.91,409,0,25,5,130,32,12,30,266,25.33960063
7.878,817,0,77,6,195,58,12,95,531,27.68706583
8.13,581,0,47,8,175,52,11,49,378,24.21788793
8.395,536,18,12,8,135,42,7,55,348,24.8230164
7.944,628,0,37,6,195,58,12,49,408,26.86624065
7.843,355,0,40,18,95,34,2,35,231,24.95789199
7.897,801,0,162,8,255,98,2,63,521,27.2066539
8.059,450,0,30,40,125,48,1,36,293,23.85428424
8.027,449,0,65,5,105,32,6,48,292,24.5397042
7.86,782,0,27,5,140,26,18,113,508,27.32552457
7.64,978,0,57,28,395,80,47,40,636,27.97609177
7.61,1625,0,238,42,640,82,106,76,1056,24.32008487
7.45,608,0,42,38,235,52,26,22,395,27.23574232
7.73,630,0,25,10,165,40,16,65,410,24.89785116
7.43,1465,0,188,28,505,122,49,102,952,25.61532542
7.65,938,0,106,65,280,68,27,83,610,26.49237947
7.52,1167,0,151,45,340,54,50,107,759,25.67536343
8.12,372,0,64,5,86,18,10,48,242,23.60643819
7.65,1114,0,188,52,293,71,28,126,724,24.63280164
7.54,1092,0,57,27,409,113,31,64,710,27.33968131
8.12,2200,0,135,42,870,272,46,122,1430,27.78119833
7.72,598,0,35,22,160,42,13,65,389,25.52760973
7.24,475,0,42,17,145,38,12,42,309,26.35272291
7.48,462,0,67,50,85,28,4,62,300,27.54748374
7.18,1286,0,37,21,375,102,29,121,836,26.22353689
7.27,928,0,62,41,385,98,34,48,603,26.43954868
7.62,530,0,62,27,80,18,9,86,345,23.31761368
7.51,1065,0,17,41,460,144,24,36,692,24.41891598
7.43,385,0,30,22,140,30,16,27,250,24.29067316
7.51,462,0,52,17,160,42,13,35,300,23.39777991
7.69,502,0,47,22,180,50,13,38,326,23.23559173
7.12,753,0,55,27,250,62,23,64,489,26.25285207
7.82,582,0,35,15,145,38,12,68,378,26.61730119
7.52,642,0,40,19,195,50,17,57,417,27.76043137
7.76,666,0,37,21,205,58,15,61,433,26.40319459
7.12,726,0,37,33,225,48,26,66,472,26.0510475
7.89,689,0,27,53,280,82,18,28,448,27.79361263
7.54,856,0,37,42,295,82,22,57,556,27.12066309
7.29,626,0,50,46,210,62,13,52,407,23.69071943
7.33,712,0,32,27,205,52,18,72,463,27.05066437
7.42,265,0,15,12,75,18,7,22,172,24.50920842
7.69,765,0,47,13,275,82,17,46,497,24.53463792
7.53,592,0,20,16,215,58,17,37,385,23.35822981
7.76,1177,0,87,27,455,150,19,62,765,25.52081371
7.92,1245,0,64,25,290,84,19,164,809,23.54810349
7.96,2385,0,423,58,575,184,28,285,1550,27.72860477
8.01,2126,0,62,42,575,190,24,232,1382,23.66573692
7.69,3802,0,742,152,930,312,36,453,2471,23.42475381
8.11,1903,0,173,35,330,102,18,285,1237,26.62976802
7.92,2898,0,525,45,245,84,9,558,1884,23.91217105
7.82,985,0,35,65,325,104,16,78,640,27.7386395
7.92,942,0,72,22,225,64,16,112,612,25.89727525
7.96,1456,0,54,38,300,98,13,202,946,26.83370392
7.24,868,0,84,15,325,106,15,55,564,26.65973194
8.04,1563,0,223,35,290,78,23,235,1016,27.21241141
8.07,1112,0,35,12,280,98,9,135,723,25.50749704
8.09,2256,0,324,56,670,224,27,212,1466,25.9382212
8.06,2189,0,230,22,505,164,23,255,1423,23.35839052
8.01,1756,0,52,26,395,112,28,245,1141,26.34828118
7.96,1465,0,136,8,415,142,15,143,952,25.97415478
7.92,1548,0,35,18,285,102,7,223,1006,24.96735906
7.89,785,0,37,5,205,64,11,85,510,26.89196409
7.91,635,0,50,27,290,64,32,18,413,24.67153218
7.81,1268,0,227,10,490,116,49,74,824,23.34779264
8.55,360,11.88,45,9,120,30,11,28,234,24.98023814
7.56,1091,0,200,41,425,90,49,61,709,24.60058346
8,860,0,72,12,385,82,44,31,559,25.35009132
7.71,955,0,40,12,355,56,52,69,621,24.49602836
7.09,279,0,35,24,95,28,6,22,181,24.02795924
7.78,958,0,97,8,225,32,35,137,623,23.44212229
7.98,740,0,40,13,325,90,24,29,481,24.64867558
7.66,1463,0,197,12,430,90,50,79,951,25.72860241
7.75,522,0,70,14,185,50,15,38,339,23.75696346
7.6,1109,0,180,16,505,100,62,47,721,25.07253234
8.01,1054,0,130,8,450,116,39,45,685,26.16278922
7.46,949,0,107,19,425,104,40,31,617,25.40155884
8.04,465,0,27,9,200,50,18,22,302,24.91523323
7.57,850,0,37,13,290,62,33,68,553,27.0887789
7.91,610,0,22,9,270,58,30,19,397,26.94051355
7.83,864,0,80,14,255,76,16,69,562,25.73145308
7.81,1154,0,137,11,420,100,41,75,750,26.06130472
7.65,760,0,67,16,280,66,28,58,494,23.43316001
8.11,518,0,30,8,205,48,21,34,337,23.64402052
8.02,1111,0,203,53,227,65,16,154,722,26.87572222
7.69,756,0,54,14,253,77,15,58,491,24.96900379
7.41,1012,0,79,33,409,113,31,52,658,27.7004439
7.65,844,0,47,32,192,46,18,108,549,24.21984706
7.69,791,0,82,27,298,103,10,56,514,24.83763454
7.52,200,0,12,18,56,12,6,23,130,23.3500537
7.42,1232,0,111,25,399,103,34,102,801,23.35793274
7.54,1035,0,101,26,359,99,27,78,673,25.89575048
8.07,1325,0,99,28,404,113,29,125,861,26.00423146
6.97,585,0,37,57,157,44,11,65,380,23.93662016
7.52,700,0,74,27,182,42,18,88,455,25.41908964
7.53,613,0,72,20,162,59,4,65,398,23.67911301
7.24,810,0,77,34,303,91,18,52,527,24.47388831
7.65,865,0,111,22,212,63,14,96,562,26.71392028
6.86,370,0,12,5,105,30,7,40,241,27.06150732
7.59,820,0,32,7,285,68,28,65,533,23.4113622
7.23,942,0,80,27,335,84,30,57,612,27.64608243
7.25,820,0,72,4,310,82,26,52,533,25.34643573
7.21,1063,0,112,12,365,94,32,75,691,26.1444424
7.67,795,0,82,3,290,96,12,54,517,25.4817067
7.14,612,0,30,42,260,78,16,22,398,26.93110417
7.13,1325,0,190,37,400,94,40,125,861,24.24625507
7.33,1510,0,195,6,395,118,24,152,982,23.68986186
7.56,614,0,30,11,220,60,17,52,399,26.87575805
7.09,638,0,49,8,253,87,9,36,415,26.70092204
7.04,1312,0,181,17,444,160,11,120,853,26.52377461
7.41,425,0,12,5,177,46,15,21,276,23.13212495
7.44,1780,0,176,36,626,170,49,120,1157,23.90575919
7.39,1040,0,79,7,288,81,21,112,676,25.28118441
7.64,1380,0,101,10,581,125,65,68,897,27.5704369
7.18,1090,0,104,11,414,89,47,65,709,25.4929976
7.66,1074,0,72,4,369,77,43,98,698,25.59755249
7.44,680,0,42,6,237,83,7,55,442,23.90965607
7.35,375,0,20,22,131,36,10,30,244,24.26016191
7.34,590,0,40,12,212,48,22,45,384,26.02624126
7.41,1405,0,136,10,505,121,49,101,913,27.54391372
7.35,1230,0,144,15,414,103,38,98,800,23.38493065
7.6,862,0,52,8,298,81,23,69,560,24.5212863
7.36,870,0,74,12,348,77,38,46,566,27.16253092
7.6,890,0,69,7,323,81,29,65,579,23.73695164
7.41,1505,0,198,17,379,89,38,167,978,27.03707089
7.27,790,0,47,9,293,87,18,49,514,25.60549404
7.51,660,0,20,11,212,53,20,68,429,24.21039282
7.42,1890,0,230,37,662,202,38,144,1229,25.87450168
8.01,353,0,20,45,150,48,7,8,230,23.21781874
8.1,907,0,70,36,370,80,41,36,590,25.32729263
7.88,1049,0,82,150,460,144,24,24,682,25.39400781
7.98,844,0,75,55,270,80,17,65,549,26.11431361
8.16,856,0,100,35,315,102,15,48,556,24.22362306
8.02,1172,0,140,36,360,122,13,100,762,26.54770132
8.16,584,0,32,48,175,54,10,45,379,27.1117047
7.97,662,0,20,5,240,66,18,40,430,26.18894052
8.03,963,0,87,18,300,92,17,78,626,23.28243526
8.08,974,0,75,9,320,104,15,75,633,24.12839528
8.06,1367,0,160,25,465,126,36,98,889,23.10107725
8.04,725,0,15,10,255,70,19,45,471,26.82453778
8.06,680,0,27,10,255,52,30,36,442,23.4886231
8.08,682,0,27,8,250,80,12,39,443,25.09293959
8.03,465,0,65,45,30,6,4,86,302,23.71882335
8.07,858,0,82,10,345,110,17,38,558,23.55055606
8.05,410,0,12,8,115,36,6,38,267,26.5478349
7.69,1314,0,200,18,490,160,22,72,854,26.06984669
7.9,211,0,10,9,70,20,5,13,137,25.73332534
7.8,1635,0,300,25,720,132,95,42,1063,27.91994263
8.07,578,0,35,32,80,26,4,92,375,25.32563967
7.85,851,0,42,28,305,76,28,50,553,23.94272639
8,922,0,72,22,320,68,36,61,599,25.03721031
7.72,1273,0,140,40,395,114,27,108,827,23.67223003
8.04,667,0,30,25,195,64,9,60,434,25.6789908
7.85,606,0,17,18,195,62,10,45,394,23.93796621
8.1,864,0,17,10,260,48,34,75,562,24.4365304
8.06,812,0,25,10,220,60,17,82,528,25.83495834
7.9,1030,0,82,15,375,116,21,60,670,26.895959
7.94,935,0,117,35,290,102,9,78,608,24.44722317
7.81,781,0,97,45,315,90,22,32,508,23.74669535
7.68,1368,0,162,62,298,63,34,169,889,24.19063757
7.99,629,0,62,20,162,34,18,67,409,26.03634101
7.74,429,0,47,18,101,24,10,49,279,26.11876488
7.32,1096,0,152,32,217,59,17,145,712,24.13443261
7.87,807,0,72,16,237,63,20,76,525,25.4093152
7.34,973,0,131,59,126,32,11,162,632,24.56638304
7.59,701,0,101,42,157,34,17,89,456,25.4870627
7.73,646,0,62,25,116,24,14,92,420,26.08458644
7.56,599,0,45,38,162,36,17,58,389,27.30854833
7.63,545,0,72,23,91,20,10,81,354,27.70635827
7.52,1264,0,156,56,318,67,37,144,822,24.50173849
7.71,962,0,111,33,273,59,31,96,625,27.74872527
7.56,1574,0,141,52,525,152,36,112,1023,23.65785606
7.41,1998,0,272,72,444,131,28,242,1299,26.13164837
7.58,1529,0,186,36,399,99,37,165,994,23.68432627
7.24,1555,0,139,58,399,83,47,170,1011,27.75976475
7.64,497,0,40,19,162,36,17,37,323,23.51093566
7.49,1056,0,22,28,355,104,23,85,686,23.2159117
7.61,1589,0,245,12,455,158,15,158,1033,25.32531453
7.92,1256,0,22,23,380,118,21,120,816,23.91764695
7.82,989,0,105,22,335,104,18,76,643,26.82974554
8.02,1523,0,112,12,365,112,21,189,990,23.56559994
7.96,1889,0,140,16,680,232,24,136,1228,24.10936841
7.45,1812,0,140,22,675,242,17,113,1178,27.12351105
7.62,1145,0,50,15,250,82,11,146,744,24.04229612
7.82,1010,0,17,14,255,82,12,114,657,24.38369667
8.02,2025,0,90,65,430,124,29,270,1316,24.32504667
7.92,798,0,22,10,300,106,9,44,519,26.61293664
7.82,785,0,65,22,295,98,12,46,510,25.80072455
7.71,981,0,104,22,313,79,28,78,638,25.8472888
7.72,826,0,94,15,268,57,31,64,537,26.32195199
7.68,1090,0,87,33,343,71,41,89,709,25.52536961
7.77,1126,0,106,28,323,83,28,105,732,27.12728139
7.73,960,0,94,42,258,55,29,103,624,24.58225463
7.75,1420,0,147,45,435,90,51,122,923,24.66245264
