pH,EC,CO3,Cl,SO4,TH,Ca,Mg,Na,TDS,Temperature
8.64,312.1,6,38.995,20.39,105,30.02,7.27,21.72,182.1,24.64676003
8.62,286.6,12,24.815,11.56,130,36.03,9.69,24.92,165,24.93190684
8.59,214.5,3,24.815,11.13,120,28.02,12.12,2.41,121.1,21.45496229
8.54,1143,18,145.35,4.8,430,72.06,60.64,95.88,607,23.46912176
8.53,500.2,12,53.175,30.45,255,48.04,32.74,44.01,297.5,24.66863997
8.49,410.4,15,28.36,21.19,225,52.04,23.03,28.68,240.1,20.79930848
8.48,348.1,6,17.725,1.29,105,26.02,9.7,52.11,185,22.52694432
8.45,1058,6,138.255,19.41,255,32.03,42.46,176.72,629.7,20.15320215
8.45,111.2,9,113.44,5.09,230,24.02,41.25,54.79,64.15,20.03876144
8.44,428.1,15,38.995,15.49,200,54.04,15.75,27.69,245.8,21.98141259
8.44,468.9,21,17.725,0,270,92.07,9.66,9.2,270.8,24.73115798
8.43,670.8,9,109.895,13,250,50.04,30.32,85.72,393.6,22.75490809
8.42,493.5,9,24.815,16.53,150,44.04,9.69,27.13,284.6,23.12734293
8.42,545.7,21,46.085,20.85,270,66.05,25.45,26.83,318,23.00687599
8.39,273.1,9,28.36,2.57,100,24.02,9.7,54.82,147,24.69754451
8.39,369.1,9,28.36,8.98,190,18.01,35.19,10.27,213.2,22.26757329
8.39,469.7,9,209.155,2.77,240,38.03,35.18,72.43,266.5,22.21198699
8.39,768.1,9,95.715,26.25,230,32.03,36.39,50.05,411.1,21.47021752
8.38,413.7,6,38.995,10.85,135,22.02,19.41,20.64,240.5,20.28648753
8.38,626.8,18,205.61,14.95,270,78.06,18.17,79.61,330.9,20.271262
8.38,438.2,9,38.995,22.97,185,36.03,23.04,30.14,233.1,21.57588803
8.37,772.9,12,170.16,14.91,265,72.06,20.6,112.24,455.9,21.79903491
8.37,270.6,9,31.905,13.92,120,28.02,12.12,5.84,155.3,24.38711775
8.36,369.5,12,17.725,13.35,150,26.02,20.62,20.07,196.1,22.49780707
8.35,338.5,9,116.985,5.69,170,38.03,18.19,55.51,178.7,20.87605812
8.35,183.7,9,31.905,8.6,95,22.02,9.7,10.81,106.4,21.4106175
8.35,513.2,6,290.69,9.19,250,40.03,36.39,78.79,277.8,23.07476959
8.33,875.8,6,177.25,20.72,230,58.05,20.6,114.16,503.8,24.8106291
8.33,27.14,12,10.635,0.15,30,4,4.85,13.14,15.49,20.08806086
8.33,378.8,12,127.62,15.2,245,64.05,20.6,42.44,200,21.25118979
8.31,336.1,15,106.35,1.77,195,56.04,13.32,40.44,173.5,22.44400991
8.31,403.7,15,24.815,19.27,190,28.02,29.11,32.06,233.4,23.91465567
8.29,109.6,0,14.18,0.42,45,16.01,1.21,18.04,62.33,23.1549219
8.28,120,0,17.725,5.37,65,14.01,7.27,8.79,68.72,22.5767276
8.27,196.1,0,7.09,3.23,100,38.03,1.2,5.39,101.5,23.97959793
8.24,108.9,0,7.09,7.82,65,18.01,4.85,2.37,62.74,20.65296367
8.24,113.4,0,14.18,4.46,55,8.01,8.49,11.3,65.8,21.47344021
8.24,163.4,0,24.815,4.18,40,8.01,4.85,8.58,94.42,22.15717621
8.22,312.1,0,53.175,47.4,105,12.01,18.2,21.34,179.4,24.03554948
8.21,117.6,0,17.725,0,55,16.01,3.63,8.83,68.47,21.8127013
8.2,217.3,0,53.175,7.71,65,14.01,7.27,33.77,126.3,21.34443624
8.2,68.06,0,53.175,13.35,120,42.03,3.62,14.01,37.24,23.37471294
8.18,156.1,0,28.36,3.75,65,24.02,1.2,15.37,89.7,23.14300049
8.17,237,0,21.27,4.17,110,26.02,10.91,12.16,125.5,23.23001138
8.17,281.7,0,28.36,14.64,140,36.03,12.12,18.16,152.6,21.74484905
8.17,144.7,0,24.815,5.5,90,22.02,8.48,8.36,84.63,24.78725075
8.17,305.2,0,88.625,21.43,160,58.05,3.61,32.39,160.1,22.65041889
8.16,829.2,0,67.355,76.88,230,46.04,27.89,56.58,441.2,24.72389236
8.16,140.2,0,10.635,2.51,60,12.01,7.28,9.54,74.45,22.12410845
8.13,453.2,0,322.595,18.32,315,56.04,42.45,75.93,247,23.15150076
8.12,263.4,0,17.725,12.31,110,24.02,12.12,9.65,139.3,20.01039067
8.12,174.7,0,17.725,15.42,90,22.02,8.48,4.07,100,24.14626112
8.12,182.5,0,10.635,4.35,100,20.02,12.13,5.07,101.4,22.99917581
8.12,186.7,0,77.99,7.33,150,26.02,20.62,24.1,96.39,24.22220831
8.1,58.86,0,10.635,0.85,30,8.01,2.42,12.7,34.37,20.99078623
8.08,269.3,0,53.175,13.74,100,26.02,8.48,22.44,154.8,24.44308946
8.08,343.5,0,49.63,10.92,170,20.02,29.12,4.49,182.7,21.93509633
8.08,355.6,0,70.9,30.82,145,50.04,4.83,10.92,204,23.88898877
8.07,1207,0,106.35,53.17,295,110.09,4.8,85.97,636.1,21.92084866
8.06,161.4,0,7.09,0.05,100,20.02,12.13,6.17,92.59,24.36713015
8.06,197.1,0,7.09,0,115,22.02,14.55,11.45,112.2,22.10014932
8.05,297.3,9,14.18,2.78,165,30.02,21.83,27.83,173.1,23.93973695
8.04,130,0,14.18,0.94,85,14.01,12.13,15.16,75.54,20.19405443
8.04,290.5,0,28.36,8.95,165,50.04,9.68,9.54,169.1,21.56855825
8.03,495.6,0,283.6,6.75,190,42.03,20.61,89.57,273.2,23.86011922
8.03,175.5,0,10.635,7.81,30,4,4.85,43.01,92.77,21.12349715
8.03,613.4,0,60.265,20.55,320,72.06,33.95,4.06,318.8,21.26808942
8.02,124.8,0,28.36,1.39,80,22.02,6.06,8.51,71.46,23.95392733
7.99,298.9,0,152.435,14.91,85,20.02,8.49,87.84,160.7,20.60761096
7.97,1387,0,326.14,15.32,455,108.09,44.85,117.88,773.4,24.3166227
7.97,53.41,0,17.725,8.16,25,6,2.42,24.55,27.8,23.80699641
7.97,460.3,0,38.995,11.43,190,14.01,37.61,7.98,248.7,24.45377861
7.97,304,0,81.535,1.69,225,22.02,41.25,21.22,158,22.64542252
7.96,266.7,0,24.815,55.36,80,22.02,6.06,32.11,140.5,22.21704167
7.96,201.6,0,35.45,5.1,65,12.01,8.49,22.25,116.1,21.62475602
7.95,581.6,0,155.98,1.06,335,40.03,57.02,67.45,349.7,22.29474845
7.94,156,0,46.085,24.28,75,10.01,12.13,25.85,81.4,23.76315453
7.94,260.3,0,198.52,13.83,140,26.02,18.19,69.42,140.3,22.41461723
7.94,457.9,0,81.535,7.08,260,70.06,20.6,13.63,234.2,24.66015254
7.93,125.7,0,56.72,9.2,65,16.01,6.06,33.85,67.68,24.76146372
7.93,74.43,0,10.635,4.46,30,6,3.64,8.91,43.11,22.46354185
7.92,65.01,0,10.635,4.19,40,4,7.28,4.5,36.73,22.54987481
7.92,88.25,0,17.725,3.31,45,12.01,3.63,3.97,50.53,24.66783631
7.89,128.3,6,109.895,6.24,50,18.01,1.2,55.58,65.99,20.86354919
7.87,208.5,0,24.815,35.06,95,26.02,7.27,13.51,109.6,21.91584266
7.86,212.6,0,42.54,2.88,75,22.02,4.84,21.34,123.7,24.20867171
7.83,858.4,0,219.79,20.09,320,14.01,69.17,78.7,464.5,20.56759876
7.8,227.3,0,95.715,30.79,100,20.02,12.13,36.83,120,24.95261997
7.8,723.7,0,262.33,6.73,175,38.03,19.4,97.87,397,21.90234778
7.77,144,0,77.99,32.93,115,14.01,19.41,31.07,77.69,24.02533121
7.77,536,0,53.175,84.79,205,46.04,21.82,40.08,282.1,20.48579348
7.76,260.7,0,49.63,6.75,180,50.04,13.33,12.37,138.4,20.21187624
7.76,145.7,0,113.44,1.4,125,30.02,12.12,39.35,75.28,20.73044715
7.7,89.05,0,31.905,0,35,10.01,2.42,18.78,51.59,24.66024194
7.7,125.4,0,38.995,2.25,45,12.01,3.63,13.04,73.19,24.78419787
7.68,290.3,0,38.995,7.86,140,38.03,10.9,24.01,167.8,21.4306103
7.67,462,0,38.995,36.14,275,30.02,48.53,3.88,246,24.14709779
7.67,149.3,0,10.635,0,85,24.02,6.06,3.71,80.14,23.25162559
7.63,251.9,0,31.905,10.85,140,28.02,16.98,5.22,146.1,24.48389275
7.63,711.1,0,145.345,35.15,265,62.05,26.67,61.43,412.2,23.55689917
7.61,328.9,0,42.54,30.6,125,18.01,19.41,24.22,187.8,20.90704718
7.6,160.9,0,53.175,2.17,30,8.01,2.42,27.4,93.24,20.84683537
7.57,256.2,0,24.815,19.93,90,24.02,7.27,17.33,136.7,22.61159035
7.57,854.3,0,262.33,6.48,350,42.03,59.45,84.67,471.5,23.20155884
7.56,169.1,0,28.36,13.29,65,18.01,4.85,23.71,90.03,23.39497631
7.56,651.7,0,194.975,7.05,245,40.03,35.17,78.85,351,24.88714412
7.56,486,0,248.15,12.49,260,42.03,37.6,76.31,252.3,21.09055996
7.56,216,0,141.8,8.45,60,20.02,2.42,66.86,114.5,23.02271703
7.56,341.1,0,28.36,3.38,155,44.04,10.9,36.12,197.9,24.97946067
7.55,408.8,0,131.165,30.21,185,70.06,2.39,52.75,211.2,23.95922727
7.55,150.5,0,10.635,16.86,85,18.01,9.7,2.83,80.01,22.7645905
7.54,241,0,42.54,33.58,165,46.04,12.11,7.82,126.6,24.8982089
7.54,163.6,0,28.36,8.71,55,10.01,7.28,14.73,87.03,20.48253585
7.51,181.4,0,21.27,20.39,70,10.01,10.92,5.28,96.38,21.3795233
7.45,370.8,0,326.14,51.28,410,72.06,55.79,54.94,200.6,20.37307654
7.44,231.2,0,7.09,10.73,115,20.02,15.77,1.86,123.4,23.29722463
7.44,178.5,0,49.63,10.72,45,4,8.49,27.5,102.2,20.35742642
7.42,596.6,0,49.63,13.35,235,6,53.4,54.56,335.7,22.25962617
7.39,198.1,0,24.815,13.97,70,14.01,8.49,15.06,105.6,22.52342326
7.35,71.23,0,21.27,8.28,40,6,6.07,15.81,38.21,24.41766942
7.35,126.7,0,77.99,13.23,55,14.01,4.85,46.6,65.89,21.8455566
7.33,213.5,0,120.53,1.84,85,26.02,4.84,49.72,109,21.74132913
7.3,106.9,0,46.085,7.2,80,20.02,7.27,2.29,57.4,21.09618967
7.29,49.38,0,10.635,2.04,30,4,4.85,4.42,26.17,20.32831142
7.17,151.4,0,77.99,10.18,200,20.02,36.4,5.09,79.08,21.64706073
7.07,576.1,0,219.79,20.38,325,44.04,52.16,47.15,304.7,20.60608751
7.06,136.8,0,70.9,9.55,105,38.03,2.41,48.84,70.86,20.89404317
7,289.3,0,198.52,11.59,90,30.02,3.63,77.09,147.4,20.38263897
6.71,224.5,0,191.43,8.02,170,28.02,24.26,65.16,117.7,20.22441704
6.7,88.52,0,60.265,2.17,50,8.01,7.28,33.1,47.23,23.7085951
6.69,73.65,0,56.72,16.02,150,10.01,30.33,2.96,38.53,22.17649616
6.61,224.8,0,148.89,13.61,60,14.01,6.06,67.95,120.3,23.35088199
6.54,128.2,0,116.985,10.38,95,20.02,10.91,48.98,67.49,22.28058668
6.35,164.2,0,134.71,9.32,40,10.01,3.64,55.34,88.11,24.27541717
6.2,80.24,0,127.62,7.7,55,14.01,4.85,55.74,41.76,22.25742345
6.02,60.16,0,85.08,7.87,65,10.01,9.7,35.24,31.73,20.80754751
5.97,70.89,0,77.99,9.55,55,4,10.92,28.15,38.77,23.21993817
5.1,297.1,0,219.79,5.52,190,30.02,27.9,45.9,156.7,20.4793732
8.2,650,0,53,53,170,50,11,65,423,23.1622906
8.18,642,0,82,23,190,66,6,52,417,24.76860655
8.2,461,0,67,14,120,28,12,46,300,24.72591243
8.19,398,0,43,11,110,30,9,35,259,23.69709579
8.12,929,0,107,37,285,106,23,76,604,23.11777276
