STATE,DISTRICT,BLOCK,LOCATION,Latitude,Longitude,Year,pH,EC,CO3,Cl,SO4,TH,Ca,Mg,Na,TDS,Temperature,St Temp,St Ph,St Ec,St CO3,St CL,St SO4,St TH,St CA,St Mg,St Na,St TDS,WQI
A&N Islands,Long Island,RONGET,Long Island (forest Area),12.36639,92.92333,2021,7.34,878,0,32,2,280,40,44,55,497,33.33921684,25,8.5,300,250,250,250,500,75,30,200,500,76.83547279
A&N Islands,Havelock,PORT BLAIR,Radhanagar,11.99167,92.95333,2021,7.77,878,0,53,8,245,48,30,75,504,27.31841517,25,8.5,300,250,250,250,500,75,30,200,500,75.36124188
A&N Islands,N&M Andaman,MAYABUNDER,Swadeshnagar,12.65083,92.89111,2021,7.6,260,0,18,8,135,18,22,9,165,31.2100775,25,8.5,300,250,250,250,500,75,30,200,500,38.52184636
A&N Islands,South Andaman,PORT BLAIR,Light House,11.66778,92.73778,2021,7.79,858,0,50,6,110,16,17,154,527,27.05043101,25,8.5,300,250,250,250,500,75,30,200,500,68.33349006
A&N Islands,Neil Island,Gadarpur,Bharatpur,11.83,93.03806,2021,7.25,557,0,35,3,245,44,33,21,338,21.11928863,25,8.5,300,250,250,250,500,75,30,200,500,54.34337768
A&N Islands,Neil Island,Gadarpur,Bharatpur,11.83611,93.04444,2021,7.46,746,0,43,11,300,64,34,40,446,27.61559631,25,8.5,300,250,250,250,500,75,30,200,500,70.84203502
A&N Islands,Neil Island,MAUGANJ,Sitapur,11.82,93.05972,2021,7.71,1020,0,74,4,330,54,47,50,543,33.96176696,25,8.5,300,250,250,250,500,75,30,200,500,89.33155162
A&N Islands,Neil Island,PORT BLAIR,Laxmanpur,11.83194,93.01694,2021,7.59,953,0,78,24,295,44,45,60,511,29.29775668,25,8.5,300,250,250,250,500,75,30,200,500,83.16888122
A&N Islands,Ross Island,PORT BLAIR,Ross Island,11.675,92.76167,2021,7.53,466,0,53,19,210,48,22,12,290,30.04288268,25,8.5,300,250,250,250,500,75,30,200,500,52.99741188
A&N Islands,South Andaman,PORT BLAIR,Dhannikhari,11.61556,92.66778,2021,7.67,348,0,21,2,160,26,23,11,225,21.40081614,25,8.5,300,250,250,250,500,75,30,200,500,40.84575132
A&N Islands,South Andaman,FERRARGUNJ,Port Mout,11.64389,92.65611,2021,7.87,448,0,18,25,190,38,23,17,287,30.86172221,25,8.5,300,250,250,250,500,75,30,200,500,52.65577777
A&N Islands,South Andaman,FERRARGUNJ,Tushnabad,11.68222,92.63639,2021,7.92,749,0,92,6,180,48,15,87,437,24.06186949,25,8.5,300,250,250,250,500,75,30,200,500,66.122498
A&N Islands,South Andaman,THIRUR MUNICIPALITY,Tirur,11.72417,92.61361,2021,7.2,157,0,21,0,60,18,4,7,104,29.00702602,25,8.5,300,250,250,250,500,75,30,200,500,23.97528219
A&N Islands,South Andaman,FERRARGUNJ,Ferrarganj,11.71694,92.65278,2021,7.5,1016,0,96,18,230,62,18,127,585,31.78115193,25,8.5,300,250,250,250,500,75,30,200,500,83.08102494
A&N Islands,South Andaman,FERRARGUNJ,Bindraban,11.72167,92.66722,2021,7.88,372,0,18,4,135,20,21,16,205,28.0186334,25,8.5,300,250,250,250,500,75,30,200,500,43.29162427
A&N Islands,South Andaman,FERRARGUNJ,Knoppuram,11.7325,92.70889,2021,7.66,461,0,21,40,175,42,17,29,305,24.27175965,25,8.5,300,250,250,250,500,75,30,200,500,49.30185199
A&N Islands,South Andaman,FERRARGUNJ,Mile Tilak,11.79472,92.65556,2021,7.71,391,0,21,46,135,38,10,29,266,28.05044241,25,8.5,300,250,250,250,500,75,30,200,500,45.03349421
A&N Islands,South Andaman,FERRARGUNJ,Mithakhari,11.01778,92.67306,2021,7.29,223,0,35,0,130,40,7,34,125,28.66273302,25,8.5,300,250,250,250,500,75,30,200,500,33.36220595
A&N Islands,South Andaman,PORT BLAIR,Nayasahar,11.57889,92.67639,2021,7.53,190,0,18,10,70,18,6,12,118,31.15826084,25,8.5,300,250,250,250,500,75,30,200,500,29.28179182
A&N Islands,South Andaman,MANJERI MUNICIPALITY,Manjeri,11.5375,92.64722,2021,7.15,609,0,78,15,140,26,18,68,339,30.43049733,25,8.5,300,250,250,250,500,75,30,200,500,54.21715054
